ANDREAL — COMPREHENSIVE PRINT PRODUCT TAXONOMY | Form Factor × Usage × Paper Specification,,,,,,
#,Form Factor Category,Sr No,Product Name,Usage Category,Paper / Board Type,GSM / Specification
5,5. HARDBOUND,5.5,Encyclopedia,Education / Publishing,Maplitho,"80, 90, 100"
5,5. HARDBOUND,5.6,Photo Book,Personal / Gifting / Events,Art Paper,"170, 200, 250"
5,5. HARDBOUND,5.7,Guest Book,Hospitality / Events / Personal,"Maplitho (inside), Art Card/Hardboard (cover)","90–120 (inside), 250–300 (cover)"
5,5. HARDBOUND,5.8,Awards / Trophy Book,Corporate / Events,"Art Paper, Metallic Paper","170, 220, 250"
5,5. HARDBOUND,5.9,Commemorative Book,Government / Corporate / Events,Art Paper,"130, 170, 220"
5,5. HARDBOUND,5.1,Religious Book,Religious / Publishing,"Maplitho, Bible Paper (thin opaque)","40–60 (Bible paper), 70–80 (Maplitho)"
6,6. SPIRAL / WIRE-O,6.1,Notebook,Education / Corporate,"Maplitho (pages), Art Card (cover)","60–80 (pages), 220–300 (cover)"
6,6. SPIRAL / WIRE-O,6.2,Diary,Corporate Gifting / Personal,"Cream Wove, Maplitho","70, 80"
6,6. SPIRAL / WIRE-O,6.3,Calendar (desk),Corporate Gifting / Retail,"Art Card (leaves), Grey Board base","170–250 (leaves), 1.5–2 mm board"
6,6. SPIRAL / WIRE-O,6.4,Training Manual,Corporate / Industrial,Maplitho,"70, 80, 90"
6,6. SPIRAL / WIRE-O,6.5,Presentation Report,Corporate / Consulting,"Maplitho (inside), Art Card (cover)","80–100 (inside), 220–250 (cover)"
6,6. SPIRAL / WIRE-O,6.6,Recipe Book,F&B / Publishing / Personal,"Maplitho, Art Paper","80–100 (text), 130–170 (image pages)"
6,6. SPIRAL / WIRE-O,6.7,Sketchbook,Education / Art,Cartridge Paper,"120, 150, 180, 200"
6,6. SPIRAL / WIRE-O,6.8,Colouring Book,Education / Retail / Personal,Maplitho,"100, 120"
6,6. SPIRAL / WIRE-O,6.9,Planner / Organiser,Corporate / Personal,"Maplitho, Cream Paper","70, 80, 90"
7,7. PAD / GUMMED,7.1,Notepad,Corporate Stationery / Education,Maplitho,"60, 70, 75"
7,7. PAD / GUMMED,7.2,Memo Pad,Corporate Stationery,Maplitho,"70, 75"
7,7. PAD / GUMMED,7.3,Sticky Note Pad,Corporate Stationery,Self-adhesive Paper,70–75
7,7. PAD / GUMMED,7.4,Invoice Pad,Commerce / Retail,Maplitho,"70, 75"
7,7. PAD / GUMMED,7.5,Receipt Pad,Commerce / Retail,Maplitho,"70, 75"
7,7. PAD / GUMMED,7.6,Order Pad,F&B / Retail / Commerce,Maplitho,"70, 75"
7,7. PAD / GUMMED,7.7,Prescription Pad,Healthcare,"Maplitho, Bond Paper","80, 90"
7,7. PAD / GUMMED,7.8,Challan Pad,Logistics / Commerce,Maplitho,"70, 75"
7,7. PAD / GUMMED,7.9,Voucher Pad,Corporate / Commerce,Maplitho,"70, 75"
7,7. PAD / GUMMED,7.1,Message Pad,Hospitality / Corporate,Maplitho,"70, 75"
8,8. NCR / CARBONLESS,8.1,Invoice Book (NCR),Commerce / Retail,NCR Paper (CB/CFB/CF),50–60 (each ply)
8,8. NCR / CARBONLESS,8.2,Receipt Book (NCR),Commerce / Retail,NCR Paper,50–60 (each ply)
8,8. NCR / CARBONLESS,8.3,Delivery Challan Book (NCR),Logistics,NCR Paper,50–60 (each ply)
8,8. NCR / CARBONLESS,8.4,Purchase Order Book (NCR),Commerce / Procurement,NCR Paper,50–60 (each ply)
8,8. NCR / CARBONLESS,8.5,Cash Memo Book (NCR),Retail,NCR Paper,50–55 (each ply)
8,8. NCR / CARBONLESS,8.6,Quotation Book (NCR),Commerce / B2B,NCR Paper,50–60 (each ply)
8,8. NCR / CARBONLESS,8.7,Dispatch Book (NCR),Logistics / Warehousing,NCR Paper,50–60 (each ply)
8,8. NCR / CARBONLESS,8.8,Gate Pass Book (NCR),Industrial / Corporate,NCR Paper,50–60 (each ply)
8,8. NCR / CARBONLESS,8.9,Voucher Book (NCR),Corporate / Finance,NCR Paper,50–60 (each ply)
8,8. NCR / CARBONLESS,8.1,Job Card (NCR),Industrial / Service,NCR Paper,50–60 (each ply)
8,8. NCR / CARBONLESS,8.11,Service Report (NCR),Industrial / Service,NCR Paper,50–60 (each ply)
8,8. NCR / CARBONLESS,8.12,Cheque Book,Banking / Finance,Security Bond Paper,90–100
9,9. CARTONS & BOXES,9.1,Mono Carton (Tuck-end),FMCG / Pharma / Food,"FBB Board, SBS Board","230, 250, 300, 350"
9,9. CARTONS & BOXES,9.2,Reverse Tuck Carton,FMCG / Pharma,FBB Board,230–300 GSM
9,9. CARTONS & BOXES,9.3,Straight Tuck Carton,FMCG / Retail,FBB Board,250–350 GSM
9,9. CARTONS & BOXES,9.4,Auto-bottom Carton,FMCG / Food / Retail,FBB Board,300–350 GSM
9,9. CARTONS & BOXES,9.5,Sleeve Carton,FMCG / Electronics / Food,"FBB Board, Kraft Board",250–350 GSM
9,9. CARTONS & BOXES,9.6,Pillow Box,Gifting / Retail / Jewellery,"Art Card, FBB Board",250–300 GSM
9,9. CARTONS & BOXES,9.7,Rigid Box / Set-up Box,Luxury / Gifting / Electronics,Grey Board + Printed Wrap,1.5–3 mm board
9,9. CARTONS & BOXES,9.8,Luxury Gift Box,Luxury / Corporate Gifting,Grey Board + Art Paper Wrap,2–3 mm board
9,9. CARTONS & BOXES,9.9,Corrugated Box,Logistics / E-commerce / Industrial,Kraft Liner + Flute (3/5 ply),120–200 GSM liner
9,9. CARTONS & BOXES,9.1,Die-cut Box,Retail / FMCG / Gifting,"FBB Board, Corrugated Board",250–350 GSM / 3 ply
9,9. CARTONS & BOXES,9.11,Window Carton,Food / Retail / Gifting,FBB Board + PVC Window,250–350 GSM
9,9. CARTONS & BOXES,9.12,Blister Card,Retail / Pharma / Hardware,SBS Board,300–400 GSM
9,9. CARTONS & BOXES,9.13,Clamshell Box,Retail / Electronics / Food,PET Plastic,300–500 micron
9,9. CARTONS & BOXES,9.14,Mailer Box,E-commerce / Direct Mail,Corrugated Board,3 ply / 5 ply
9,9. CARTONS & BOXES,9.15,Gable Top Box,Food / Gifting / Retail,FBB Board,250–300 GSM
9,9. CARTONS & BOXES,9.16,Pizza Box,Food & Beverage,Corrugated (E/B flute),3 ply (140–180 GSM liner)
9,9. CARTONS & BOXES,9.17,Cake Box,Food & Beverage / Bakery,Duplex Board (White Back),300–400 GSM
9,9. CARTONS & BOXES,9.18,Shoe Box,Apparel / Footwear,Corrugated Board,3 ply / 5 ply
9,9. CARTONS & BOXES,9.19,Apparel Box,Fashion / Retail,"Duplex Board, Rigid Board",300–400 GSM / 1.5–2 mm
9,9. CARTONS & BOXES,9.2,Jewellery Box,Luxury / Retail,Rigid Board + Velvet/Fabric,1.5–3 mm board
10,10. BAGS & POUCHES,10.1,Paper Carry Bag,Retail / FMCG,"Kraft Paper, Art Paper (laminated)","120, 150, 180, 200, 250"
10,10. BAGS & POUCHES,10.2,Shopping Bag,Retail / Fashion,"Kraft Paper, Art Paper with lamination","150, 180, 200, 250"
10,10. BAGS & POUCHES,10.3,Kraft Bag,Retail / Food / Eco,Natural Brown Kraft Paper,"80, 100, 120, 150"
10,10. BAGS & POUCHES,10.4,Flat Bottom Bag,Food / FMCG / Retail,"Kraft Paper, White Kraft","70, 80, 100, 120"
10,10. BAGS & POUCHES,10.5,Stand-up Pouch,Food / FMCG / Pharma,"Laminated Films (PET + PE, BOPP + PE, Foil laminate)",80–150 micron
10,10. BAGS & POUCHES,10.6,Sachet,FMCG / Food / Personal Care,"Multi-layer Laminates (PET/PE, Foil, BOPP)",50–100 micron
10,10. BAGS & POUCHES,10.7,Envelope Bag,Corporate / Direct Mail,"Kraft Paper, White Paper","80, 100, 120"
10,10. BAGS & POUCHES,10.8,Gusset Bag,Food / Retail / Industrial,"Kraft Paper, Butter Paper","40, 50, 60, 70"
10,10. BAGS & POUCHES,10.9,SOS Bag,Food / Bakery / Retail,Kraft Paper,"70, 80, 100, 120"
10,10. BAGS & POUCHES,10.1,Window Bag,Food / Gifting / Retail,Kraft Paper + Transparent Film Window,"80, 100, 120"
11,11. LABELS & TAGS,11.1,Product Label (cut & stack),FMCG / Food / Pharma,"Chromo Paper, Art Paper","70, 80, 90 GSM"
11,11. LABELS & TAGS,11.2,Roll Label,FMCG / Logistics / Retail,"Self-adhesive Paper, PP Film",70–90 GSM paper / 50–80 micron film
11,11. LABELS & TAGS,11.3,Barcode Label,Logistics / Retail / Warehousing,"Self-adhesive Paper, Thermal Paper",70–80 GSM
11,11. LABELS & TAGS,11.4,Shrink Sleeve Label,Beverages / FMCG / Personal Care,"PVC, PETG Film",40–60 micron
11,11. LABELS & TAGS,11.5,Wrap-around Label,Beverages / Food / Pharma,"BOPP Film, Paper",50–70 micron film / 70–80 GSM paper
11,11. LABELS & TAGS,11.6,In-mould Label,FMCG / Personal Care,BOPP Film,50–80 micron
11,11. LABELS & TAGS,11.7,Peel & Reveal Label,Pharma / Promotions,Self-adhesive multi-layer laminate,70–90 GSM base
11,11. LABELS & TAGS,11.8,Security / Tamper Evident Label,Pharma / Electronics / Food,"Destructible Vinyl, Void Film",50–70 micron
11,11. LABELS & TAGS,11.9,Holographic Label,Luxury / Security / FMCG,"Holographic Foil Paper, PET",60–100 micron
11,11. LABELS & TAGS,11.1,Hang Tag / Swing Tag,Fashion / Apparel / Retail,"Art Card, Kraft Card","250, 300, 350 GSM"
11,11. LABELS & TAGS,11.11,Price Tag,Retail / Commerce,Art Card,"200, 250, 300 GSM"
11,11. LABELS & TAGS,11.12,Garment Label,Fashion / Apparel,"Satin Ribbon, Nylon Taffeta",60–120 micron
11,11. LABELS & TAGS,11.13,Fabric / Woven Label,Fashion / Apparel,Woven Polyester Thread,—
11,11. LABELS & TAGS,11.14,Care Label,Fashion / Apparel / Home Textile,"Satin, Nylon, Polyester",50–80 micron
11,11. LABELS & TAGS,11.15,Tie-on Tag,Industrial / Retail,"Art Card, Kraft Card",250–350 GSM
11,11. LABELS & TAGS,11.16,Luggage Tag,Travel / Corporate Gifting,"Art Card (laminated), PVC",300–400 GSM / 0.5–0.8 mm PVC
12,12. TUBES & CORES,12.1,Paper Tube,Industrial / Packaging / FMCG,Kraft Paper Board (spiral wound),250–400 GSM layers
12,12. TUBES & CORES,12.2,Paper Core,Industrial / Textile / Printing,Recycled Kraft Board,200–350 GSM layers
12,12. TUBES & CORES,12.3,Composite Can,Food / FMCG / Personal Care,Kraft Board + Foil + PE lining,250–350 GSM board
12,12. TUBES & CORES,12.4,Paper Straw,F&B / Hospitality / Eco,Food-grade Kraft Paper,120–160 GSM layers
13,13. CUPS & DISPOSABLES,13.1,Paper Cup (hot),F&B / Hospitality / Vending,PE-coated Cup Stock Paper,170–250 GSM + 15–20 GSM PE coating
13,13. CUPS & DISPOSABLES,13.2,Paper Cup (cold),F&B / Hospitality / Retail,PE-coated or PLA-coated Cup Paper,150–230 GSM + coating
13,13. CUPS & DISPOSABLES,13.3,Paper Plate,F&B / Events / Catering,"PE-coated Paper Board, Duplex Board","180, 230, 300, 350 GSM"
13,13. CUPS & DISPOSABLES,13.4,Paper Bowl,F&B / Food Delivery / Events,PE-coated Food Grade Board,200–300 GSM
13,13. CUPS & DISPOSABLES,13.5,Food Tray,F&B / QSR / Catering,"Kraft Board, Duplex Board",250–350 GSM
13,13. CUPS & DISPOSABLES,13.6,Butter / Greaseproof Sheet,Food / Bakery / QSR,"Greaseproof Paper, Butter Paper","30, 40, 50 GSM"
13,13. CUPS & DISPOSABLES,13.7,Tissue Paper (printed),F&B / Hospitality / Gifting,Tissue Paper,18–22 GSM
13,13. CUPS & DISPOSABLES,13.8,Napkin (printed),F&B / Events / Hospitality,Tissue Paper (2–3 ply),16–20 GSM per ply
14,14. ROLL / CONTINUOUS,14.1,Thermal Roll (POS/billing),Retail / Banking / Logistics,Thermal Paper,"48, 55, 60 GSM"
14,14. ROLL / CONTINUOUS,14.2,ATM Roll,Banking / Finance,Thermal Paper,"55, 60 GSM"
14,14. ROLL / CONTINUOUS,14.3,Fax Roll,Corporate / Government,Thermal Paper,55 GSM
14,14. ROLL / CONTINUOUS,14.4,Cash Register Roll,Retail / Commerce,Thermal Paper / Bond Paper,"55 GSM (thermal), 60–70 GSM (bond)"
14,14. ROLL / CONTINUOUS,14.5,Continuous Stationery,Corporate / Banking / Government,"Maplitho, Bond Paper","58, 60, 70 GSM"
14,14. ROLL / CONTINUOUS,14.6,Computer Fanfold Paper,Industrial / Corporate / Govt,Maplitho,"58, 60, 70 GSM"
14,14. ROLL / CONTINUOUS,14.7,Wallpaper Roll,Interior Design / Real Estate,"Coated Paper, Vinyl-coated Paper",120–200 GSM
14,14. ROLL / CONTINUOUS,14.8,Wrapping Paper Roll,Retail / Gifting,"Kraft Paper, Printed Coated Paper","60, 80, 100 GSM"
14,14. ROLL / CONTINUOUS,14.9,Label Roll,FMCG / Logistics / Pharma,"Self-adhesive Paper, PP Film",70–90 GSM paper / 50–80 micron film
15,15. LARGE FORMAT,15.1,Flex Banner,Retail / Events / Outdoor,PVC Flex,"280, 340, 440 GSM"
15,15. LARGE FORMAT,15.2,Vinyl Banner,Events / Outdoor / Retail,"Star Flex, Frontlit PVC Vinyl",300–440 GSM
15,15. LARGE FORMAT,15.3,Hoarding / Billboard,Outdoor Advertising,"Frontlit Flex, Vinyl","340, 440 GSM"
15,15. LARGE FORMAT,15.4,Backlit / Sunlit Display,Retail / Malls / Airports,"Backlit Flex, Backlit Film",200–300 GSM / 150–250 micron
15,15. LARGE FORMAT,15.5,Standee,Retail / Events / F&B,"Star Flex, Vinyl Print with Stand",280–340 GSM
15,15. LARGE FORMAT,15.6,Roll-up / Pull-up Banner,Events / Corporate / Exhibitions,"PP Synthetic Film, Blockout Film",180–250 micron
15,15. LARGE FORMAT,15.7,X-Banner,Events / Retail / Exhibitions,"Flex, Synthetic PP Film",280 GSM / 180–220 micron
15,15. LARGE FORMAT,15.8,Pop-up Display,Exhibitions / Retail / Events,"Fabric Print, PP Film, Vinyl",200–260 GSM fabric / 180–250 micron film
15,15. LARGE FORMAT,15.9,Exhibition Panel,Exhibitions / Corporate,Vinyl Print mounted on Sunboard,3–5 mm board
15,15. LARGE FORMAT,15.1,Window Graphic,Retail / Real Estate / Hospitality,"One-way Vision Vinyl, Clear Vinyl",120–160 micron
15,15. LARGE FORMAT,15.11,Floor Graphic,Retail / Events / Wayfinding,Anti-slip Floor Vinyl,200–300 micron
15,15. LARGE FORMAT,15.12,Vehicle Wrap / Decal,Outdoor Advertising / Corporate,"Cast Vinyl, Polymer Vinyl",50–100 micron
15,15. LARGE FORMAT,15.13,Canvas Print,Décor / Art / Corporate,"Cotton Canvas, Polyester Canvas",300–400 GSM
15,15. LARGE FORMAT,15.14,Fine Art Print,Art / Publishing / Décor,"Cotton Rag Paper, Archival Paper",200–310 GSM
15,15. LARGE FORMAT,15.15,Fabric Display,Exhibitions / Events / Retail,"Polyester Fabric, Stretch Fabric",160–220 GSM
16,16. CARDS,16.1,Business / Visiting Card,Corporate Stationery,"Art Card, Matte Card, Textured Card","250, 300, 350, 400 GSM"
16,16. CARDS,16.2,ID Card,Corporate / Education / Govt,"PVC Card, Teslin + PVC Lamination","0.5 mm, 0.76 mm"
16,16. CARDS,16.3,Smart Card,Banking / Transport / Telecom,PVC with Embedded Chip,0.76 mm
16,16. CARDS,16.4,Loyalty Card,Retail / F&B / Hospitality,"PVC Card, Art Card (laminated)",0.76 mm PVC / 300–350 GSM paper
16,16. CARDS,16.5,Gift Card / Voucher,Retail / Corporate Gifting,"PVC Card, Art Card",0.76 mm PVC / 300–400 GSM paper
16,16. CARDS,16.6,Playing Card,Gaming / Entertainment,Playing Card Board (Black Core Board),280–320 GSM
16,16. CARDS,16.7,Trading Card,Gaming / Entertainment / Sports,"Art Card, SBS Board",250–350 GSM
16,16. CARDS,16.8,Scratch Card,Promotions / Lottery / Telecom,Art Card + Scratch-off Coating,250–300 GSM
16,16. CARDS,16.9,Membership Card,Corporate / Club / Retail,"PVC Card, Art Card",0.76 mm PVC / 300–350 GSM
16,16. CARDS,16.1,Admit Card / Pass,Education / Events / Govt,"Art Card, PVC","170, 220, 250 GSM / 0.5–0.76 mm PVC"
17,17. SECURITY,17.1,Currency Note,Government / Banking,Cotton Rag Paper (security substrate),~80–90 GSM
17,17. SECURITY,17.2,Cheque,Banking / Finance,Security Bond Paper,90–100 GSM
17,17. SECURITY,17.3,Demand Draft,Banking / Finance,Security Bond Paper,90–100 GSM
17,17. SECURITY,17.4,Stamp Paper,Legal / Government,Security Paper with Watermark,100–120 GSM
17,17. SECURITY,17.5,Passport,Government,Security Paper + Laminated Data Page,90–120 GSM pages
17,17. SECURITY,17.6,Lottery Ticket,Government / Gaming,Security Paper,70–100 GSM
17,17. SECURITY,17.7,Event Ticket,Entertainment / Sports / Events,"Art Paper, Security Paper","120, 170, 220 GSM"
17,17. SECURITY,17.8,Transport Ticket,Transport / Government,"Thermal Paper, Security Paper",55–70 GSM
17,17. SECURITY,17.9,Gift Voucher / Coupon,Retail / Corporate / FMCG,Art Paper,"170, 220, 250 GSM"
17,17. SECURITY,17.1,Hologram,Security / Pharma / FMCG,Holographic Foil / PET Film,12–50 micron
17,17. SECURITY,17.11,Watermarked Document,Legal / Corporate / Govt,Watermarked Bond Paper,90–120 GSM
18,18. TEXTILE,18.1,T-shirt Print,Apparel / Events / Promotions,"Cotton, Polyester Fabric",160–200 GSM fabric
18,18. TEXTILE,18.2,Uniform / Apparel Print,Corporate / Industrial / Sports,"Cotton, Poly-cotton Fabric",180–240 GSM fabric
18,18. TEXTILE,18.3,Tote Bag Print,Retail / Promotions / Eco,"Cotton Canvas, Non-woven Fabric",180–300 GSM
18,18. TEXTILE,18.4,Fabric Roll Print,Fashion / Home Textile / Interior,"Polyester Fabric, Cotton Fabric",120–200 GSM
18,18. TEXTILE,18.5,Flag / Bunting,Events / Outdoor / Political,"Knitted Polyester, Satin Fabric",80–120 GSM
18,18. TEXTILE,18.6,Tablecloth / Runner,F&B / Events / Hospitality,"Polyester Fabric, Cotton Fabric",180–220 GSM
18,18. TEXTILE,18.7,Bandana / Scarf,Fashion / Events / Promotions,"Cotton, Polyester Satin",60–120 GSM
19,19. SPECIALTY,19.1,Foiled / Embossed Stationery,Luxury / Corporate,"Bond Paper, Textured Paper","100, 120, 220 GSM"
19,19. SPECIALTY,19.2,Embossed Visiting Card,Luxury / Corporate,"Art Card, Cotton Paper, Textured Card","300, 350, 400 GSM"
19,19. SPECIALTY,19.3,Die-cut Shape (custom),Retail / Events / Marketing,"Art Card, FBB Board","250, 300, 350 GSM"
19,19. SPECIALTY,19.4,Pop-up Card / Book,Gifting / Publishing / Education,"Art Card, SBS Board","220, 250, 300 GSM"
19,19. SPECIALTY,19.5,Lenticular Print,Retail / Marketing / Entertainment,Lenticular PET Lens Sheet,300–500 micron
19,19. SPECIALTY,19.6,Scratch-off Print,Promotions / Gaming / Retail,Art Card + Latex Scratch Layer,250–300 GSM
19,19. SPECIALTY,19.7,Fragrance / Scratch & Sniff,Luxury / FMCG / Publishing,Coated Paper with Micro-encapsulated Ink,170–250 GSM
19,19. SPECIALTY,19.8,Glow-in-dark Print,Safety / Events / Retail,Art Paper + Phosphorescent Ink,170–250 GSM
19,19. SPECIALTY,19.9,Magnetic Print,Retail / Promotions / Corporate,Flexible Magnetic Sheet + Printed Vinyl,0.5–1 mm
19,19. SPECIALTY,19.1,UV Spot Print Product,Luxury / Corporate / FMCG,"Art Card, Laminated Paper",250–350 GSM
